concept_code,vocabulary_id,cluster
K46.9,ICD10CM,abdominal_hernia
K41.01,ICD10CM,abdominal_hernia
K41.10,ICD10CM,abdominal_hernia
K40.41,ICD10CM,abdominal_hernia
K40.21,ICD10CM,abdominal_hernia
K43.2,ICD10CM,abdominal_hernia
K45.8,ICD10CM,abdominal_hernia
K43.1,ICD10CM,abdominal_hernia
K41.41,ICD10CM,abdominal_hernia
K42.9,ICD10CM,abdominal_hernia
K43.0,ICD10CM,abdominal_hernia
K43.5,ICD10CM,abdominal_hernia
K41.21,ICD10CM,abdominal_hernia
K40.10,ICD10CM,abdominal_hernia
K44.9,ICD10CM,abdominal_hernia
K41.11,ICD10CM,abdominal_hernia
K43.4,ICD10CM,abdominal_hernia
K42.0,ICD10CM,abdominal_hernia
K41.91,ICD10CM,abdominal_hernia
K40.20,ICD10CM,abdominal_hernia
K41.31,ICD10CM,abdominal_hernia
K43.3,ICD10CM,abdominal_hernia
K42.1,ICD10CM,abdominal_hernia
K41.30,ICD10CM,abdominal_hernia
K40.30,ICD10CM,abdominal_hernia
K44.0,ICD10CM,abdominal_hernia
K40.31,ICD10CM,abdominal_hernia
K40.11,ICD10CM,abdominal_hernia
K40.40,ICD10CM,abdominal_hernia
K43.7,ICD10CM,abdominal_hernia
K41.40,ICD10CM,abdominal_hernia
K41.90,ICD10CM,abdominal_hernia
K46.1,ICD10CM,abdominal_hernia
K45.0,ICD10CM,abdominal_hernia
K41.00,ICD10CM,abdominal_hernia
K40.00,ICD10CM,abdominal_hernia
K40.90,ICD10CM,abdominal_hernia
K40.91,ICD10CM,abdominal_hernia
K46.0,ICD10CM,abdominal_hernia
K43.9,ICD10CM,abdominal_hernia
K44.1,ICD10CM,abdominal_hernia
K45.1,ICD10CM,abdominal_hernia
K41.20,ICD10CM,abdominal_hernia
K40.01,ICD10CM,abdominal_hernia
K43.6,ICD10CM,abdominal_hernia
R10.821,ICD10CM,abdominal_pain
R10.11,ICD10CM,abdominal_pain
R10.2,ICD10CM,abdominal_pain
R19.34,ICD10CM,abdominal_pain
R19.37,ICD10CM,abdominal_pain
R10.813,ICD10CM,abdominal_pain
R19.35,ICD10CM,abdominal_pain
R19.31,ICD10CM,abdominal_pain
R10.31,ICD10CM,abdominal_pain
R10.84,ICD10CM,abdominal_pain
R10.32,ICD10CM,abdominal_pain
R10.0,ICD10CM,abdominal_pain
R10.30,ICD10CM,abdominal_pain
R10.10,ICD10CM,abdominal_pain
R19.33,ICD10CM,abdominal_pain
R10.823,ICD10CM,abdominal_pain
R10.12,ICD10CM,abdominal_pain
R10.827,ICD10CM,abdominal_pain
R10.815,ICD10CM,abdominal_pain
R10.13,ICD10CM,abdominal_pain
R10.822,ICD10CM,abdominal_pain
R10.825,ICD10CM,abdominal_pain
R10.811,ICD10CM,abdominal_pain
R10.824,ICD10CM,abdominal_pain
R10.814,ICD10CM,abdominal_pain
R19.30,ICD10CM,abdominal_pain
R10.819,ICD10CM,abdominal_pain
R10.829,ICD10CM,abdominal_pain
R10.826,ICD10CM,abdominal_pain
R19.32,ICD10CM,abdominal_pain
R10.812,ICD10CM,abdominal_pain
R14.1,ICD10CM,abdominal_pain
R10.816,ICD10CM,abdominal_pain
R19.36,ICD10CM,abdominal_pain
R10.33,ICD10CM,abdominal_pain
R10.9,ICD10CM,abdominal_pain
R10.817,ICD10CM,abdominal_pain
R10.83,ICD10CM,abdominal_pain
R19.11,ICD10CM,abdominal_signs_and_symptoms
R12,ICD10CM,abdominal_signs_and_symptoms
R10,ICD10CM,abdominal_signs_and_symptoms
R19.8,ICD10CM,abdominal_signs_and_symptoms
R15.0,ICD10CM,abdominal_signs_and_symptoms
R13.0,ICD10CM,abdominal_signs_and_symptoms
R19.12,ICD10CM,abdominal_signs_and_symptoms
R16,ICD10CM,abdominal_signs_and_symptoms
R10.8,ICD10CM,abdominal_signs_and_symptoms
R13.14,ICD10CM,abdominal_signs_and_symptoms
R19.01,ICD10CM,abdominal_signs_and_symptoms
R15.2,ICD10CM,abdominal_signs_and_symptoms
R14.2,ICD10CM,abdominal_signs_and_symptoms
R13.13,ICD10CM,abdominal_signs_and_symptoms
R17,ICD10CM,abdominal_signs_and_symptoms
R15,ICD10CM,abdominal_signs_and_symptoms
R10.82,ICD10CM,abdominal_signs_and_symptoms
R15.9,ICD10CM,abdominal_signs_and_symptoms
R13.11,ICD10CM,abdominal_signs_and_symptoms
R13.12,ICD10CM,abdominal_signs_and_symptoms
R19.5,ICD10CM,abdominal_signs_and_symptoms
R13,ICD10CM,abdominal_signs_and_symptoms
R19.05,ICD10CM,abdominal_signs_and_symptoms
R19.4,ICD10CM,abdominal_signs_and_symptoms
R10.81,ICD10CM,abdominal_signs_and_symptoms
R16.2,ICD10CM,abdominal_signs_and_symptoms
R19.03,ICD10CM,abdominal_signs_and_symptoms
R19,ICD10CM,abdominal_signs_and_symptoms
R18.8,ICD10CM,abdominal_signs_and_symptoms
R14,ICD10CM,abdominal_signs_and_symptoms
R14.3,ICD10CM,abdominal_signs_and_symptoms
R18.0,ICD10CM,abdominal_signs_and_symptoms
R10.3,ICD10CM,abdominal_signs_and_symptoms
R19.00,ICD10CM,abdominal_signs_and_symptoms
R18,ICD10CM,abdominal_signs_and_symptoms
R13.1,ICD10CM,abdominal_signs_and_symptoms
R13.10,ICD10CM,abdominal_signs_and_symptoms
R13.19,ICD10CM,abdominal_signs_and_symptoms
R10.1,ICD10CM,abdominal_signs_and_symptoms
R19.09,ICD10CM,abdominal_signs_and_symptoms
R19.06,ICD10CM,abdominal_signs_and_symptoms
R19.6,ICD10CM,abdominal_signs_and_symptoms
R19.15,ICD10CM,abdominal_signs_and_symptoms
R14.0,ICD10CM,abdominal_signs_and_symptoms
R19.2,ICD10CM,abdominal_signs_and_symptoms
R15.1,ICD10CM,abdominal_signs_and_symptoms
R16.0,ICD10CM,abdominal_signs_and_symptoms
R19.07,ICD10CM,abdominal_signs_and_symptoms
R19.1,ICD10CM,abdominal_signs_and_symptoms
R14.8,ICD10CM,abdominal_signs_and_symptoms
R19.02,ICD10CM,abdominal_signs_and_symptoms
R19.04,ICD10CM,abdominal_signs_and_symptoms
R19.3,ICD10CM,abdominal_signs_and_symptoms
R19.0,ICD10CM,abdominal_signs_and_symptoms
R16.1,ICD10CM,abdominal_signs_and_symptoms
D75.82,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R70,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R70.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R70.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R71,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R71.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R71.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.01,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.02,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.03,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.09,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R73.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R74,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R74.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R74.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76.12,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R76.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R77.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R78.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.82,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.89,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R79.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R80.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R82.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
